qidx,top_k,t_total_ms,t_encode_ms,t_search_ms,t_prompt_ms,t_llm_ms,num_docs
53,3,1800.9147499979008,135.16083399008494,11.747041004127823,0.06512500112876296,1653.9417500025593,3
54,3,3307.2106250037905,60.37679199653212,10.126291002961807,0.0072499969974160194,3236.700292007299,3
55,3,3481.8016670033103,300.34724999859463,10.323082999093458,0.005584006430581212,3171.1257499991916,3
56,3,3184.2872090055607,914.4996249960968,10.52062500093598,0.010625008144415915,2259.2563340003835,3
57,3,3892.5569590064697,131.38266700843815,5.815166994580068,0.010957999620586634,3755.348167003831,3
58,3,3319.609500002116,212.01645900146104,11.07441600470338,0.015792000340297818,3096.5028329956112,3
59,3,3134.583917009877,173.739083998953,15.333333009039052,0.03904200275428593,2945.4724579991307,3
60,3,2526.349416002631,215.1494999998249,21.240208006929606,0.03620800271164626,2289.923499993165,3
61,3,2650.825042001088,102.56062500411645,14.051834004931152,0.017124999430961907,2534.1954579926096,3
62,3,1103.175458003534,119.59641599969473,1.4740839978912845,0.0050000089686363935,982.0999579969794,3
63,3,3085.634167000535,57.12966699502431,32.7317080082139,0.009458992280997336,2995.7633330050157,3
64,3,2155.640416996903,233.88512499514036,13.970708998385817,0.035958000808022916,1907.7486250025686,3
65,3,4603.104041001643,123.46704100491479,2.4252089933725074,0.009208000847138464,4477.202583002509,3
66,3,2892.313541000476,184.47216600179672,12.225792001117952,0.006332993507385254,2695.609250004054,3
67,3,5113.603833000525,179.71995800326113,13.459916997817345,0.00870799703989178,4920.4152500024065,3
68,3,3504.9402500008,136.4517500041984,4.651708994060755,0.02795799809973687,3363.808833004441,3
69,3,2999.6195410058135,495.9972079959698,8.93045800330583,0.005209003575146198,2494.6866660029627,3
70,3,5897.19391700055,383.409208006924,66.08862499706447,0.029999995604157448,5447.666084000957,3
71,3,4551.871250005206,496.7977080086712,13.895416996092536,0.011083000572398305,4041.16704199987,3
72,3,10906.067875010194,309.26566700509284,9.77124999917578,0.016833000699989498,10587.014125005226,3
73,3,3790.3177499974845,623.374207993038,68.21883299562614,0.15995900321286172,3098.5647500056075,3
74,3,4672.634957998525,218.43312500277534,163.32862499984913,0.937790988245979,4289.935417007655,3
75,3,2515.3785000002244,304.2079580045538,12.11275000241585,0.3300419921288267,2198.727750001126,3
76,3,2371.806374998414,148.9584160008235,1.7429169965907931,0.0061250029830262065,2221.0989169980166,3
77,3,3421.7193749936996,214.66354199219495,30.330416004289873,0.012042000889778137,3176.713374996325,3
78,3,2484.621915995376,219.84858300129417,18.217666991404258,0.016999998479150236,2246.5386660041986,3
79,3,2414.9584169936134,111.4404999971157,4.603458000929095,0.008167000487446785,2298.906291995081,3
80,3,1424.076834009611,192.0875000068918,11.86641700041946,0.008499991963617504,1220.1144170103362,3
81,3,2782.833124991157,69.34204199933447,1.4628329954575747,0.004874993464909494,2712.0233750029,3
82,3,2686.405542001012,79.68929200433195,4.948250003508292,0.005666996003128588,2601.7623329971684,3
83,3,2698.1242499896325,116.28670898790006,2.1445410093292594,0.006667003617621958,2579.6863329887856,3
84,3,3908.444167012931,113.98420900513884,24.458708008751273,0.006791990017518401,3769.994458009023,3
85,3,2350.7798339996953,560.2621250000084,12.603959010448307,0.011665993952192366,1777.9020839952864,3
86,3,1874.6403330005705,84.11679200071376,6.284332994255237,0.015375000657513738,1784.223833004944,3
87,3,3222.609458010993,84.56733300408814,13.405375008005649,0.006541988113895059,3124.6302080107853,3
88,3,3816.603583007236,228.48254100244958,11.126917001092806,0.004083005478605628,3576.990041998215,3
89,3,5813.7162500061095,548.9770410058554,29.44766699511092,0.0059580052038654685,5235.285583999939,3
90,3,7198.157499995432,529.208291991381,22.72162500594277,0.010207993909716606,6646.217375004198,3
91,3,3301.1958749993937,496.20379199041054,22.2822080104379,0.010457995813339949,2782.699417002732,3
92,3,2350.246916001197,342.81704100430943,9.087833997909911,0.3045830089831725,1998.0374579899944,3
93,3,5360.192499996629,134.22062499739695,7.973290994414128,0.00720900425221771,5217.991375000565,3
94,3,2728.288208003505,248.61508299363777,14.832834000117145,0.014125005691312253,2464.826166004059,3
95,3,4312.952958003734,235.78337499930058,10.628125004586764,0.008125003660097718,4066.533332996187,3
96,3,3610.432708999724,285.79466699738987,11.528167000506073,0.00795800588093698,3313.1019169959472,3
97,3,3038.999042008072,681.6093750094296,43.70941699016839,0.011750002158805728,2313.6685000063153,3
98,3,6840.392625003005,100.58870899956673,92.10354099923279,0.9672090091044083,6646.733165995101,3
99,3,3450.5654169915942,565.2452499925857,9.993917003157549,0.013791999663226306,2875.3124579961877,3
